Group,RPN,YRR,PRR,WP,RWG,Round,RNO,Rest,Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE,WOR,OWU,PFOR,RPTF,CPR,NC,TASTES,FQS,HCS,AMBS,SERVICES,PRICES,LOCS,EOF,EOW,AVGSPEND,ALCN,FAVCUS,Restau,DistanceG,DistanceHM,Overall,FoodQual,Taste,Service,Location,Price,Ambiance,Variety,Healthy,Recfrd,Tip,Revisit
2,-1,2.4,0,0,1,1,1,2,25,2,1,2,1,1,2,1,4,3,1,3,1,1,1,2,12,300,1,1,1,5,5,4,3,5,4,3,4,2,2,2,2,2,2,2,5,3,3,2,4,2,2,2,1,3,3,3
2,-1,2.4,0,0,2,1,2,2,30,2,1,3,1,1,2,1,1,3,5,2,1,1,1,2,8,140,1,1,1,4,4,5,5,4,4,4,2,2,2,3,2,2,4,3,3,4,4,4,3,3,3,2,2,2,3,3
2,-1,2.4,0,0,3,1,3,2,34,2,6,2,2,3,5,3,4,2,1,1,1,1,1,1,128,652,1,1,2,5,4,1,4,5,4,4,3,3,5,3,4,2,1,3,5,3,3,4,4,4,2,2,3,3,2,1
2,-1,2.4,0,0,4,1,4,2,46,2,6,3,2,4,5,3,4,3,1,2,1,1,1,1,30,1212,1,1,1,5,5,4,4,5,4,3,4,2,2,2,1,2,2,2,3,4,4,4,4,4,4,4,3,4,2,5
2,-1,2.4,0,0,5,1,5,2,43,2,6,1,2,2,3,3,4,2,1,5,1,1,1,2,76,1708,1,1,1,4,4,3,4,5,4,5,4,2,2,3,2,2,2,2,5,2,2,3,3,2,3,3,3,2,2,2
2,-1,1.4,0,0,6,1,6,1,36,2,1,2,3,3,4,5,2,2,2,2,1,2,1,2,128,1696,2,1,1,4,4,4,4,4,4,3,3,2,2,2,4,1,3,3,5,3,2,3,3,2,3,4,2,2,2,2
2,-1,1.4,0,0,7,1,7,1,25,1,1,2,1,1,1,2,4,4,1,4,1,1,1,1,72,572,1,1,1,5,4,3,3,5,5,3,3,1,2,3,2,1,4,5,5,3,3,5,2,4,4,4,2,3,2,3
2,-1,1.4,0,0,8,1,8,1,39,1,1,3,2,6,7,1,4,4,1,2,1,1,1,2,128,540,1,1,2,5,5,4,5,5,4,3,3,2,2,3,1,1,3,5,3,3,3,3,1,3,4,4,3,4,3,4
2,-1,1.4,0,0,9,1,9,1,26,2,1,3,2,2,4,2,3,4,1,2,1,1,1,2,76,1708,1,1,1,5,5,4,3,4,4,5,4,2,3,1,2,1,1,1,3,4,4,4,3,4,5,4,2,4,3,4
2,-1,1.4,0,0,10,1,10,1,21,1,1,7,1,4,3,2,4,2,1,1,1,1,1,2,10,1982,1,1,1,4,4,3,3,4,3,2,3,1,2,3,2,1,3,5,3,4,3,4,2,4,4,3,2,4,3,4
3,1,4.2,0,0,1,1,11,1,39,1,1,7,2,4,9,3,3,2,3,4,1,1,1,1,12,2046,1,1,1,5,5,3,4,5,3,3,2,2,3,3,4,1,1,2,2,2,2,2,3,2,2,3,2,4,3,4
3,1,4.2,0,0,2,1,12,1,42,1,1,7,2,5,5,3,3,2,1,1,1,1,1,2,10,180,1,1,2,4,4,1,3,4,4,2,3,1,3,2,1,1,4,4,5,4,3,2,3,3,4,3,2,3,3,3
3,1,4.2,0,0,3,1,13,1,45,1,1,3,2,5,5,3,4,4,3,1,1,2,2,2,128,1024,1,1,1,4,4,4,4,5,4,3,4,2,3,3,5,1,1,1,2,2,3,1,2,3,3,2,2,2,2,1
3,1,4.2,0,0,4,1,14,1,39,2,1,3,2,4,9,3,1,6,6,8,1,1,1,1,44,1980,1,1,1,5,5,5,5,5,3,3,3,3,2,3,3,1,1,2,5,3,3,4,4,2,4,4,2,4,3,4
3,1,4.2,0,0,5,1,15,1,53,1,1,7,2,5,5,3,3,2,4,4,1,1,1,2,128,668,1,1,2,3,5,3,4,5,3,4,3,2,4,2,2,1,1,2,2,2,2,4,3,3,3,3,3,3,3,3
3,1,3.8,0,0,6,1,16,2,39,1,1,2,2,4,8,3,2,1,3,2,1,1,1,2,10,1084,1,1,2,5,3,2,2,3,2,3,4,2,2,3,2,2,2,1,2,2,2,2,4,2,2,3,2,2,3,3
3,1,3.8,0,0,7,1,17,2,41,1,1,7,2,5,5,4,1,2,3,2,1,2,1,2,128,164,1,1,2,5,5,3,4,4,5,3,4,3,2,1,2,2,5,5,3,4,4,3,5,3,3,3,2,4,2,3
3,1,3.8,0,0,8,1,18,2,38,1,1,7,2,3,3,3,2,1,5,1,1,2,1,2,128,512,1,1,2,5,5,2,4,4,4,3,4,3,2,3,3,2,3,4,2,2,2,4,5,3,3,4,2,2,3,2
3,1,3.8,0,0,9,1,19,2,43,1,1,7,2,5,9,3,2,3,5,2,1,2,1,2,44,188,1,1,2,5,4,2,4,4,3,4,1,3,1,2,4,2,2,2,3,3,4,4,4,2,3,3,2,4,3,3
3,1,3.8,0,0,10,1,20,2,39,1,7,7,2,5,5,3,4,2,1,3,1,2,1,2,36,172,1,1,2,5,5,3,4,5,2,3,3,3,5,4,4,2,2,3,5,3,4,5,3,3,4,3,2,4,3,4
4,-1,1.2,0,0,1,1,21,1,64,2,1,7,2,2,3,3,2,2,5,2,1,2,1,2,16,236,1,1,1,5,5,3,4,5,3,2,2,2,2,3,3,1,4,5,3,5,5,5,4,3,2,4,3,5,4,4
4,-1,1.2,0,0,2,1,22,1,70,1,1,3,2,2,3,3,1,6,6,8,1,1,1,2,88,1788,2,1,1,5,5,4,3,3,4,3,2,2,2,2,1,1,3,3,4,4,4,5,2,5,3,4,2,5,2,5
4,-1,1.2,0,0,3,1,23,1,68,2,1,3,2,2,4,4,2,1,3,3,1,2,1,1,128,1184,1,1,1,4,4,4,3,4,5,4,3,1,1,1,4,1,3,3,3,3,2,5,2,3,3,4,3,4,2,5
4,-1,1.2,0,0,4,1,24,1,79,1,1,1,3,2,3,3,1,5,6,8,1,2,2,2,128,80,2,1,1,5,5,5,4,5,4,4,3,1,3,2,1,1,2,3,3,4,4,5,2,3,3,4,3,5,3,5
4,-1,1.2,0,0,5,1,25,1,79,2,1,7,3,2,3,3,2,5,6,8,1,2,1,2,128,56,1,1,1,5,5,4,4,5,5,5,3,1,3,2,1,1,2,3,4,5,5,5,2,5,4,5,4,5,3,5
4,-1,2.4,0,0,6,1,26,2,61,2,1,7,2,2,2,3,2,2,2,5,1,1,1,1,4,956,1,1,1,5,5,4,5,5,5,3,3,1,2,2,1,2,4,4,4,5,5,4,4,4,3,5,3,5,2,5
4,-1,2.4,0,0,7,1,27,2,66,1,1,7,2,2,2,3,2,5,6,8,1,1,1,1,128,112,1,1,2,4,4,3,4,4,4,3,3,2,2,3,1,2,4,4,4,5,4,5,4,4,3,5,3,5,2,5
4,-1,2.4,0,0,8,1,28,2,62,1,1,2,2,2,3,1,2,1,1,3,1,1,1,2,18,252,1,1,1,4,4,3,4,4,4,3,3,2,3,2,1,2,3,3,3,4,4,4,4,4,4,4,3,5,3,5
4,-1,2.4,0,0,9,1,29,2,69,1,1,2,2,2,3,3,1,1,2,2,1,1,1,2,128,1788,1,1,2,5,5,2,4,5,4,4,2,1,3,2,1,2,4,4,3,4,4,5,4,4,4,4,2,5,2,4
