Group,RPN,YRR,PRR,WP,RWG,Round,RNO,Rest,Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE
2,-1,2.4,0,0,1,1,1,2,25,0,1,2,1,1,2,1,4,3,1,3,1,1,1
2,-1,2.4,0,0,2,1,2,2,30,0,1,3,1,1,2,1,1,3,5,2,1,1,1
2,-1,2.4,0,0,3,1,3,2,34,0,6,2,2,3,5,3,4,2,1,1,1,1,1
2,-1,2.4,0,0,4,1,4,2,46,0,6,3,2,4,5,3,4,3,1,2,1,1,1
2,-1,2.4,0,0,5,1,5,2,43,0,6,1,2,2,3,3,4,2,1,5,1,1,1
2,-1,1.4,0,0,6,1,6,1,36,0,1,2,3,3,4,5,2,2,2,2,1,2,1
2,-1,1.4,0,0,7,1,7,1,25,1,1,2,1,1,1,2,4,4,1,4,1,1,1
2,-1,1.4,0,0,8,1,8,1,39,1,1,3,2,6,7,1,4,4,1,2,1,1,1
2,-1,1.4,0,0,9,1,9,1,26,0,1,3,2,2,4,2,3,4,1,2,1,1,1
2,-1,1.4,0,0,10,1,10,1,21,1,1,7,1,4,3,2,4,2,1,1,1,1,1
3,1,4.2,0,0,1,1,11,1,39,1,1,7,2,4,9,3,3,2,3,4,1,1,1
3,1,4.2,0,0,2,1,12,1,42,1,1,7,2,5,5,3,3,2,1,1,1,1,1
3,1,4.2,0,0,3,1,13,1,45,1,1,3,2,5,5,3,4,4,3,1,1,2,2
3,1,4.2,0,0,4,1,14,1,39,0,1,3,2,4,9,3,1,6,6,8,1,1,1
3,1,4.2,0,0,5,1,15,1,53,1,1,7,2,5,5,3,3,2,4,4,1,1,1
3,1,3.8,0,0,6,1,16,2,39,1,1,2,2,4,8,3,2,1,3,2,1,1,1
3,1,3.8,0,0,7,1,17,2,41,1,1,7,2,5,5,4,1,2,3,2,1,2,1
3,1,3.8,0,0,8,1,18,2,38,1,1,7,2,3,3,3,2,1,5,1,1,2,1
3,1,3.8,0,0,9,1,19,2,43,1,1,7,2,5,9,3,2,3,5,2,1,2,1
3,1,3.8,0,0,10,1,20,2,39,1,7,7,2,5,5,3,4,2,1,3,1,2,1
4,-1,1.2,0,0,1,1,21,1,64,0,1,7,2,2,3,3,2,2,5,2,1,2,1
4,-1,1.2,0,0,2,1,22,1,70,1,1,3,2,2,3,3,1,6,6,8,1,1,1
4,-1,1.2,0,0,3,1,23,1,68,0,1,3,2,2,4,4,2,1,3,3,1,2,1
4,-1,1.2,0,0,4,1,24,1,79,1,1,1,3,2,3,3,1,5,6,8,1,2,2
4,-1,1.2,0,0,5,1,25,1,79,0,1,7,3,2,3,3,2,5,6,8,1,2,1
4,-1,2.4,0,0,6,1,26,2,61,0,1,7,2,2,2,3,2,2,2,5,1,1,1
4,-1,2.4,0,0,7,1,27,2,66,1,1,7,2,2,2,3,2,5,6,8,1,1,1
4,-1,2.4,0,0,8,1,28,2,62,1,1,2,2,2,3,1,2,1,1,3,1,1,1
4,-1,2.4,0,0,9,1,29,2,69,1,1,2,2,2,3,3,1,1,2,2,1,1,1
4,-1,1.2,0,0,10,1,30,1,64,1,1,7,2,2,2,3,2,3,1,5,1,2,1
5,1,4.4,0,0,1,1,31,1,39,1,1,2,3,1,6,1,2,1,1,2,1,1,1
5,1,4.4,0,0,2,1,32,1,29,0,1,7,2,2,6,3,2,3,1,1,1,1,1
5,1,4.4,0,0,3,1,33,1,25,1,1,2,1,1,2,3,2,2,1,2,1,1,1
5,1,4.4,0,0,4,1,34,1,34,1,1,2,2,2,4,3,3,1,1,2,1,1,1
5,1,4.4,0,0,5,1,35,1,31,0,1,2,2,4,4,3,2,1,1,1,1,1,1
5,1,4.2,0,0,6,1,36,2,42,0,8,2,2,5,9,2,1,2,2,2,1,1,1
5,1,4.2,0,0,7,1,37,2,31,0,1,3,2,5,6,2,2,2,1,2,1,1,1
5,1,4.2,0,0,8,1,38,2,46,1,1,7,3,2,3,3,1,2,1,1,1,2,1
5,1,4.2,0,0,9,1,39,2,42,0,1,2,3,1,3,3,3,2,1,3,1,2,2
5,1,4.2,0,0,10,1,40,2,32,1,1,2,2,2,6,1,3,6,6,8,1,1,1
6,1,4.4,0,0,1,1,41,1,61,0,1,7,2,2,8,3,2,1,1,5,1,1,1
6,1,4.4,0,0,2,1,42,1,34,0,1,3,2,3,5,3,2,2,2,2,1,1,1
6,1,4.4,0,0,3,1,43,1,33,1,1,2,2,4,8,1,2,3,1,1,1,1,1
6,1,4.4,0,0,4,1,44,1,34,0,1,3,1,2,7,3,3,2,1,1,1,1,1
6,1,4.4,0,0,5,1,45,1,36,1,6,3,3,2,7,1,3,5,6,8,1,1,1
6,1,4.4,0,0,6,1,46,2,37,0,1,3,2,4,5,3,2,1,1,4,1,1,1
6,1,4.4,0,0,8,1,47,2,41,1,1,2,1,1,6,3,2,1,2,1,1,1,1
6,1,4.4,0,0,9,1,48,2,38,1,7,2,2,4,9,3,3,1,1,2,1,1,1
