WOR,OWU,PFOR,RPTF,CPR,NC,TASTES,FQS,HCS,AMBS,SERVICES,PRICES
2,12,300,1,1,1,5,5,4,3,5,4
2,8,140,1,1,1,4,4,5,5,4,4
1,128,652,1,1,2,5,4,1,4,5,4
1,30,1212,1,1,1,5,5,4,4,5,4
2,76,1708,1,1,1,4,4,3,4,5,4
2,128,1696,2,1,1,4,4,4,4,4,4
1,72,572,1,1,1,5,4,3,3,5,5
2,128,540,1,1,2,5,5,4,5,5,4
2,76,1708,1,1,1,5,5,4,3,4,4
2,10,1982,1,1,1,4,4,3,3,4,3
1,12,2046,1,1,1,5,5,3,4,5,3
2,10,180,1,1,2,4,4,1,3,4,4
2,128,1024,1,1,1,4,4,4,4,5,4
1,44,1980,1,1,1,5,5,5,5,5,3
2,128,668,1,1,2,3,5,3,4,5,3
2,10,1084,1,1,2,5,3,2,2,3,2
2,128,164,1,1,2,5,5,3,4,4,5
2,128,512,1,1,2,5,5,2,4,4,4
2,44,188,1,1,2,5,4,2,4,4,3
2,36,172,1,1,2,5,5,3,4,5,2
2,16,236,1,1,1,5,5,3,4,5,3
2,88,1788,2,1,1,5,5,4,3,3,4
1,128,1184,1,1,1,4,4,4,3,4,5
2,128,80,2,1,1,5,5,5,4,5,4
2,128,56,1,1,1,5,5,4,4,5,5
1,4,956,1,1,1,5,5,4,5,5,5
1,128,112,1,1,2,4,4,3,4,4,4
2,18,252,1,1,1,4,4,3,4,4,4
2,128,1788,1,1,2,5,5,2,4,5,4
2,32,1092,1,1,2,5,5,1,4,5,3
1,46,148,1,1,1,5,5,5,4,4,2
1,44,1568,1,1,1,5,5,4,4,5,3
2,32,1552,1,1,1,5,4,4,2,4,3
1,28,1212,1,1,1,5,4,4,4,5,4
1,128,44,1,1,1,5,5,5,4,3,4
2,58,1268,1,1,2,5,5,4,4,4,3
1,128,1980,1,1,1,5,5,4,2,4,3
2,128,1568,1,1,1,5,5,5,4,5,4
2,128,1696,1,1,1,5,5,5,4,5,4
1,124,1724,1,1,1,4,4,3,5,5,3
2,8,46,1,1,1,5,5,5,4,4,4
2,8,140,2,1,1,5,5,3,4,4,3
2,10,164,1,1,1,5,3,3,4,3,3
2,22,1724,1,1,2,4,4,3,4,5,4
1,62,1708,1,1,1,5,4,3,4,5,2
1,4,128,1,1,1,5,5,3,5,5,3
1,24,180,1,1,1,4,4,4,4,4,3
1,8,1788,1,1,1,5,5,5,5,5,3
1,44,1980,1,1,1,5,5,4,4,4,4
1,8,192,2,1,2,4,4,2,2,3,5
1,14,244,1,1,2,5,5,5,5,5,4
2,4,32,2,1,2,5,4,2,3,4,3
1,8,2016,1,1,2,5,3,5,4,4,5
2,128,822,2,1,2,4,5,3,4,3,5
2,44,676,1,1,2,5,5,2,3,3,3
1,12,1686,1,1,1,4,5,3,4,4,4
2,4,1188,2,1,2,5,5,1,3,5,5
2,8,4,2,1,1,3,4,5,2,4,4
2,40,164,1,1,2,4,4,2,4,4,3
2,128,164,2,1,1,5,4,3,5,5,2
2,24,188,1,1,1,5,5,5,3,5,5
1,8,164,1,1,2,4,4,3,4,4,4
2,8,944,2,1,1,5,3,3,5,4,5
1,12,1200,1,1,1,5,5,3,4,4,3
