Group,RPN,YRR,POS,NEG,RWG,Rest,Overall,FoodQual,Taste,Service,Location,Price,Ambiance,Variety,Healthy,Recfrd,Tip,Revisit
2,-1,2.4,0,2.4,1,2,4,3,3,2,4,2,2,2,1,2,3,2
2,-1,2.4,0,2.4,2,2,2,4,4,4,3,3,3,2,2,1,3,2
2,-1,2.4,0,2.4,3,2,4,3,3,4,4,4,2,2,3,2,2,0
2,-1,2.4,0,2.4,4,2,2,4,4,4,4,4,4,4,3,3,2,4
2,-1,2.4,0,2.4,5,2,4,2,2,3,3,2,3,3,3,1,2,1
2,-1,1.4,0,1.4,6,1,4,3,2,3,3,2,3,4,2,1,2,1
2,-1,1.4,0,1.4,7,1,4,3,3,5,2,4,4,4,2,2,2,2
2,-1,1.4,0,1.4,8,1,2,3,3,3,1,3,4,4,3,3,3,3
2,-1,1.4,0,1.4,9,1,2,4,4,4,3,4,5,4,2,3,3,3
2,-1,1.4,0,1.4,10,1,2,4,3,4,2,4,4,3,2,3,3,3
3,1,4.2,4.2,0,1,1,1,2,2,2,3,2,2,3,2,3,3,3
3,1,4.2,4.2,0,2,1,4,4,3,2,3,3,4,3,2,2,3,2
3,1,4.2,4.2,0,3,1,1,2,3,1,2,3,3,2,2,1,2,0
3,1,4.2,4.2,0,4,1,4,3,3,4,4,2,4,4,2,3,3,3
3,1,4.2,4.2,0,5,1,1,2,2,4,3,3,3,3,3,2,3,2
3,1,3.8,3.8,0,6,2,1,2,2,2,4,2,2,3,2,1,3,2
3,1,3.8,3.8,0,7,2,2,4,4,3,5,3,3,3,2,3,2,2
3,1,3.8,3.8,0,8,2,1,2,2,4,5,3,3,4,2,1,3,1
3,1,3.8,3.8,0,9,2,2,3,4,4,4,2,3,3,2,3,3,2
3,1,3.8,3.8,0,10,2,4,3,4,5,3,3,4,3,2,3,3,3
4,-1,1.2,0,1.2,1,1,2,5,5,5,4,3,2,4,3,4,4,3
4,-1,1.2,0,1.2,2,1,3,4,4,5,2,5,3,4,2,4,2,4
4,-1,1.2,0,1.2,3,1,2,3,2,5,2,3,3,4,3,3,2,4
4,-1,1.2,0,1.2,4,1,2,4,4,5,2,3,3,4,3,4,3,4
4,-1,1.2,0,1.2,5,1,3,5,5,5,2,5,4,5,4,4,3,4
4,-1,2.4,0,2.4,6,2,3,5,5,4,4,4,3,5,3,4,2,4
4,-1,2.4,0,2.4,7,2,3,5,4,5,4,4,3,5,3,4,2,4
4,-1,2.4,0,2.4,8,2,2,4,4,4,4,4,4,4,3,4,3,4
4,-1,2.4,0,2.4,9,2,2,4,4,5,4,4,4,4,2,4,2,3
4,-1,1.2,0,1.2,10,1,2,4,4,5,2,3,3,4,3,4,3,4
5,1,4.4,4.4,0,1,1,2,3,4,4,4,5,3,3,3,3,3,2
5,1,4.4,4.4,0,2,1,4,3,4,4,4,4,4,3,2,2,3,2
5,1,4.4,4.4,0,3,1,1,3,3,2,3,3,3,4,3,1,3,2
5,1,4.4,4.4,0,4,1,2,5,5,4,2,4,3,4,2,3,3,3
5,1,4.4,4.4,0,5,1,4,2,3,3,4,2,4,3,2,0,3,0
5,1,4.2,4.2,0,6,2,4,4,4,3,2,3,3,5,3,3,3,2
5,1,4.2,4.2,0,7,2,4,3,3,3,5,3,3,4,2,2,3,1
5,1,4.2,4.2,0,8,2,4,4,3,4,5,4,3,4,3,3,3,4
5,1,4.2,4.2,0,9,2,2,2,2,4,4,4,4,3,2,3,3,3
5,1,4.2,4.2,0,10,2,2,4,4,5,4,5,5,3,2,3,4,4
6,1,4.4,4.4,0,1,1,4,3,3,4,3,3,2,3,2,1,2,1
6,1,4.4,4.4,0,2,1,4,3,3,4,4,3,3,5,2,1,3,1
6,1,4.4,4.4,0,3,1,4,4,4,2,3,3,3,2,2,3,3,2
6,1,4.4,4.4,0,4,1,1,2,3,2,3,4,2,3,2,1,2,1
6,1,4.4,4.4,0,5,1,1,2,2,2,2,2,2,3,2,2,2,2
6,1,4.4,4.4,0,6,2,2,4,4,3,5,4,3,4,2,3,3,3
6,1,4.4,4.4,0,8,2,4,2,3,3,4,4,3,2,2,2,2,3
6,1,4.4,4.4,0,9,2,4,3,3,2,4,4,4,2,2,2,1,2
6,1,4.4,4.4,0,10,2,3,5,5,5,4,4,4,4,2,4,4,4
7,-1,1.2,0,1.2,1,1,4,4,3,4,3,2,4,5,2,3,2,1
7,-1,1.2,0,1.2,2,1,4,3,3,2,3,3,3,2,2,2,2,2
7,-1,1.2,0,1.2,3,1,4,3,3,4,4,4,3,3,3,1,2,1
7,-1,1.2,0,1.2,4,1,4,3,3,3,3,2,2,3,2,2,2,2
7,-1,1.2,0,1.2,5,1,2,4,3,3,3,3,3,4,3,3,2,2
7,-1,2.4,0,2.4,6,2,0,2,1,3,4,3,4,2,3,0,2,0
7,-1,2.4,0,2.4,7,2,0,1,1,2,4,4,1,3,2,0,1,0
7,-1,2.4,0,2.4,8,2,4,2,2,5,4,3,2,3,2,1,3,2
7,-1,2.4,0,2.4,9,2,2,3,3,5,4,2,2,4,2,3,3,3
7,-1,2.4,0,2.4,10,2,4,2,3,3,3,4,2,3,2,2,2,1
8,-1,1.2,0,1.2,1,1,1,3,3,2,2,3,1,3,2,1,3,2
8,-1,1.2,0,1.2,2,1,3,4,4,5,3,5,3,5,2,4,3,3
8,-1,1.2,0,1.2,3,1,1,2,2,4,4,2,3,2,2,1,2,2
8,-1,1.2,0,1.2,4,1,2,3,4,3,3,3,3,2,2,2,3,2
8,-1,1.2,0,1.2,5,1,4,4,3,3,3,2,2,3,2,3,3,1
8,-1,2.2,0,2.2,6,2,4,3,3,2,5,3,3,2,2,3,2,1
8,-1,2.2,0,2.2,7,2,1,1,1,3,4,3,2,2,2,1,2,0
8,-1,2.2,0,2.2,8,2,4,3,3,4,4,3,3,3,2,1,3,1
8,-1,2.2,0,2.2,9,2,4,3,3,3,3,3,1,2,2,2,2,2
8,-1,2.2,0,2.2,10,2,0,4,3,1,4,4,3,3,2,2,1,1
9,1,3.4,3.4,0,1,2,4,4,4,3,2,2,2,1,2,3,2,4
9,1,3.4,3.4,0,2,2,4,3,4,3,3,4,3,3,2,3,3,3
9,1,3.4,3.4,0,3,2,4,3,2,4,3,2,3,3,2,2,3,1
9,1,3.4,3.4,0,4,2,4,2,2,4,4,3,3,2,2,2,1,1
9,1,3.4,3.4,0,5,2,2,3,3,4,4,4,3,3,2,2,3,0
9,1,4.4,4.4,0,6,1,1,2,2,3,1,4,1,4,2,1,3,0
9,1,4.4,4.4,0,7,1,4,2,2,4,2,4,2,3,2,1,4,1
9,1,4.4,4.4,0,8,1,4,2,2,3,2,3,3,3,2,1,3,1
9,1,4.4,4.4,0,9,1,1,2,2,4,3,3,2,3,2,0,3,0
9,1,4.4,4.4,0,10,1,4,3,3,4,2,3,2,2,2,0,2,0
10,1,4.2,4.2,0,1,1,2,4,3,2,4,5,4,4,3,3,2,2
10,1,4.2,4.2,0,2,1,2,4,4,2,3,3,3,4,4,3,3,3
10,1,4.2,4.2,0,3,1,4,3,3,2,3,3,3,3,2,2,3,2
10,1,4.2,4.2,0,9,1,4,2,2,3,4,3,4,3,2,1,3,2
10,1,4.2,4.2,0,4,1,4,3,3,3,4,3,3,3,2,2,3,1
10,1,3.4,3.4,0,5,2,2,4,4,4,3,2,3,3,2,3,3,3
10,1,3.4,3.4,0,6,2,2,4,3,3,3,3,5,4,4,3,3,3
10,1,3.4,3.4,0,7,2,2,4,4,5,4,2,4,3,2,3,2,2
10,1,3.4,3.4,0,8,2,1,3,2,4,3,3,4,4,2,2,2,2
10,1,3.4,3.4,0,10,2,3,5,5,5,5,5,5,5,5,4,2,4
11,-1,1.4,0,1.4,1,1,2,4,3,5,3,4,3,3,3,2,4,3
11,-1,1.4,0,1.4,2,1,2,5,3,5,4,4,4,4,3,3,4,3
11,-1,1.4,0,1.4,3,1,2,4,4,4,2,3,4,2,2,3,2,3
11,-1,1.4,0,1.4,4,1,2,4,3,4,3,3,4,5,2,3,3,3
11,-1,1.4,0,1.4,5,1,0,1,1,2,3,2,1,4,2,0,1,0
11,-1,2.4,0,2.4,6,2,2,3,4,4,5,4,3,3,3,2,2,2
11,-1,2.4,0,2.4,7,2,4,3,4,3,3,2,2,3,2,3,3,2
11,-1,2.4,0,2.4,8,2,4,3,3,3,4,4,3,3,2,1,2,1
11,-1,2.4,0,2.4,9,2,4,2,2,4,4,1,3,5,2,1,3,0
11,-1,2.4,0,2.4,10,2,4,3,2,3,2,4,1,3,2,2,3,2
0,0,0,0,0,1,1,2,4,4,5,4,4,3,3,3,3,2,3
0,0,0,0,0,2,1,4,4,3,4,1,2,3,4,1,2,3,2
0,0,0,0,0,4,1,3,5,5,5,2,4,5,5,3,4,3,3
0,0,0,0,0,5,1,4,5,5,2,5,5,5,5,2,4,3,4
0,0,0,0,0,6,1,4,4,3,3,4,2,4,4,3,3,2,2
0,0,0,0,0,8,1,2,4,4,4,4,3,4,3,2,3,3,3
0,0,0,0,0,9,1,2,4,5,3,2,4,4,3,2,3,1,4
0,0,0,0,0,10,1,1,2,2,2,3,5,3,3,2,0,1,0
0,0,0,0,0,11,1,0,1,1,1,2,3,2,4,2,0,3,0
0,0,0,0,0,12,2,4,3,3,2,5,4,4,4,2,1,2,1
0,0,0,0,0,13,2,1,3,3,2,2,2,2,3,3,1,1,0
0,0,0,0,0,14,2,3,5,5,4,3,4,5,3,2,3,2,3
0,0,0,0,0,15,2,4,3,3,4,4,3,2,2,2,3,3,2
0,0,0,0,0,16,2,1,3,4,1,4,3,2,2,2,1,1,0
0,0,0,0,0,17,2,3,4,5,5,5,5,5,3,2,4,4,4
0,0,0,0,0,18,2,2,4,3,4,4,4,3,3,3,2,2,3
0,0,0,0,0,19,2,1,2,2,3,4,4,2,3,2,1,3,1
0,0,0,0,0,20,2,4,3,4,3,3,4,3,4,2,2,3,1
0,0,0,0,0,23,2,4,3,3,4,3,3,2,3,2,2,3,2
0,0,0,0,0,24,2,0,1,1,1,3,5,2,3,2,1,3,1
0,0,0,0,0,25,2,4,3,3,4,5,3,2,3,2,1,3,1
0,0,0,0,0,26,2,2,4,4,4,4,3,3,3,2,3,3,2
0,0,0,0,0,27,2,3,4,4,5,4,5,4,5,3,4,4,4
0,0,0,0,0,29,1,4,4,3,4,2,4,3,3,2,3,1,1
0,0,0,0,0,31,1,4,3,3,2,2,3,3,3,3,2,2,2
0,0,0,0,0,32,1,3,5,4,5,5,3,4,3,3,3,2,3
0,0,0,0,0,33,1,2,4,4,4,3,3,5,4,3,3,2,2
0,0,0,0,0,34,1,2,3,4,4,3,3,3,2,3,2,2,2
0,0,0,0,0,35,1,1,1,1,4,1,3,3,1,2,0,2,0
0,0,0,0,0,36,1,4,3,3,3,3,3,2,3,3,3,3,3
0,0,0,0,0,37,1,3,5,5,5,2,3,4,3,2,3,4,3
0,0,0,0,0,38,2,2,3,4,3,5,4,5,2,2,3,3,3
0,0,0,0,0,39,2,2,4,4,5,5,5,3,3,2,3,4,3
0,0,0,0,0,40,2,2,4,4,4,5,5,5,3,1,4,4,4
0,0,0,0,0,41,2,2,4,4,4,4,3,4,4,2,3,2,3
0,0,0,0,0,42,1,2,3,3,4,4,3,3,4,1,2,3,1
0,0,0,0,0,43,2,3,4,4,5,4,4,5,5,2,4,2,4
