Group,RPN,YRR,POS,NEG,Posnew,Posnew1,Negnew,Negnew1,RWG,Rest,Overall,FoodQual,Taste,Service,Location,Price,Ambiance,Variety,Healthy,Recfrd,Tip,Revisit,Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE
2,-1,2.4,0,2.4,0,0,-2.4,-0.6,1,2,4,3,3,2,4,2,2,2,1,2,3,2,25,0,1,2,1,1,2,1,4,3,1,3,1,1,1
2,-1,2.4,0,2.4,0,0,-2.4,-0.6,2,2,2,4,4,4,3,3,3,2,2,1,3,2,30,0,1,3,1,1,2,1,1,3,5,2,1,1,1
2,-1,2.4,0,2.4,0,0,-2.4,-0.6,3,2,4,3,3,4,4,4,2,2,3,2,2,0,34,0,6,2,2,3,5,3,4,2,1,1,1,1,1
2,-1,2.4,0,2.4,0,0,-2.4,-0.6,4,2,2,4,4,4,4,4,4,4,3,3,2,4,46,0,6,3,2,4,5,3,4,3,1,2,1,1,1
2,-1,2.4,0,2.4,0,0,-2.4,-0.6,5,2,4,2,2,3,3,2,3,3,3,1,2,1,43,0,6,1,2,2,3,3,4,2,1,5,1,1,1
2,-1,1.4,0,1.4,0,0,-1.4,-1.6,6,1,4,3,2,3,3,2,3,4,2,1,2,1,36,0,1,2,3,3,4,5,2,2,2,2,1,2,1
2,-1,1.4,0,1.4,0,0,-1.4,-1.6,7,1,4,3,3,5,2,4,4,4,2,2,2,2,25,1,1,2,1,1,1,2,4,4,1,4,1,1,1
2,-1,1.4,0,1.4,0,0,-1.4,-1.6,8,1,2,3,3,3,1,3,4,4,3,3,3,3,39,1,1,3,2,6,7,1,4,4,1,2,1,1,1
2,-1,1.4,0,1.4,0,0,-1.4,-1.6,9,1,2,4,4,4,3,4,5,4,2,3,3,3,26,0,1,3,2,2,4,2,3,4,1,2,1,1,1
2,-1,1.4,0,1.4,0,0,-1.4,-1.6,10,1,2,4,3,4,2,4,4,3,2,3,3,3,21,1,1,7,1,4,3,2,4,2,1,1,1,1,1
3,1,4.2,4.2,0,1.7,1.2,0,0,1,1,1,2,2,2,3,2,2,3,2,3,3,3,39,1,1,7,2,4,9,3,3,2,3,4,1,1,1
3,1,4.2,4.2,0,1.7,1.2,0,0,2,1,4,4,3,2,3,3,4,3,2,2,3,2,42,1,1,7,2,5,5,3,3,2,1,1,1,1,1
3,1,4.2,4.2,0,1.7,1.2,0,0,3,1,1,2,3,1,2,3,3,2,2,1,2,0,45,1,1,3,2,5,5,3,4,4,3,1,1,2,2
3,1,4.2,4.2,0,1.7,1.2,0,0,4,1,4,3,3,4,4,2,4,4,2,3,3,3,39,0,1,3,2,4,9,3,1,6,6,8,1,1,1
3,1,4.2,4.2,0,1.7,1.2,0,0,5,1,1,2,2,4,3,3,3,3,3,2,3,2,53,1,1,7,2,5,5,3,3,2,4,4,1,1,1
3,1,3.8,3.8,0,1.3,0.8,0,0,6,2,1,2,2,2,4,2,2,3,2,1,3,2,39,1,1,2,2,4,8,3,2,1,3,2,1,1,1
3,1,3.8,3.8,0,1.3,0.8,0,0,7,2,2,4,4,3,5,3,3,3,2,3,2,2,41,1,1,7,2,5,5,4,1,2,3,2,1,2,1
3,1,3.8,3.8,0,1.3,0.8,0,0,8,2,1,2,2,4,5,3,3,4,2,1,3,1,38,1,1,7,2,3,3,3,2,1,5,1,1,2,1
3,1,3.8,3.8,0,1.3,0.8,0,0,9,2,2,3,4,4,4,2,3,3,2,3,3,2,43,1,1,7,2,5,9,3,2,3,5,2,1,2,1
3,1,3.8,3.8,0,1.3,0.8,0,0,10,2,4,3,4,5,3,3,4,3,2,3,3,3,39,1,7,7,2,5,5,3,4,2,1,3,1,2,1
4,-1,1.2,0,1.2,0,0,-1.2,-1.8,1,1,2,5,5,5,4,3,2,4,3,4,4,3,64,0,1,7,2,2,3,3,2,2,5,2,1,2,1
4,-1,1.2,0,1.2,0,0,-1.2,-1.8,2,1,3,4,4,5,2,5,3,4,2,4,2,4,70,1,1,3,2,2,3,3,1,6,6,8,1,1,1
4,-1,1.2,0,1.2,0,0,-1.2,-1.8,3,1,2,3,2,5,2,3,3,4,3,3,2,4,68,0,1,3,2,2,4,4,2,1,3,3,1,2,1
4,-1,1.2,0,1.2,0,0,-1.2,-1.8,4,1,2,4,4,5,2,3,3,4,3,4,3,4,79,1,1,1,3,2,3,3,1,5,6,8,1,2,2
4,-1,1.2,0,1.2,0,0,-1.2,-1.8,5,1,3,5,5,5,2,5,4,5,4,4,3,4,79,0,1,7,3,2,3,3,2,5,6,8,1,2,1
4,-1,2.4,0,2.4,0,0,-2.4,-0.6,6,2,3,5,5,4,4,4,3,5,3,4,2,4,61,0,1,7,2,2,2,3,2,2,2,5,1,1,1
4,-1,2.4,0,2.4,0,0,-2.4,-0.6,7,2,3,5,4,5,4,4,3,5,3,4,2,4,66,1,1,7,2,2,2,3,2,5,6,8,1,1,1
4,-1,2.4,0,2.4,0,0,-2.4,-0.6,8,2,2,4,4,4,4,4,4,4,3,4,3,4,62,1,1,2,2,2,3,1,2,1,1,3,1,1,1
4,-1,2.4,0,2.4,0,0,-2.4,-0.6,9,2,2,4,4,5,4,4,4,4,2,4,2,3,69,1,1,2,2,2,3,3,1,1,2,2,1,1,1
4,-1,1.2,0,1.2,0,0,-1.2,-1.8,10,1,2,4,4,5,2,3,3,4,3,4,3,4,64,1,1,7,2,2,2,3,2,3,1,5,1,2,1
5,1,4.4,4.4,0,1.9,1.4,0,0,1,1,2,3,4,4,4,5,3,3,3,3,3,2,39,1,1,2,3,1,6,1,2,1,1,2,1,1,1
5,1,4.4,4.4,0,1.9,1.4,0,0,2,1,4,3,4,4,4,4,4,3,2,2,3,2,29,0,1,7,2,2,6,3,2,3,1,1,1,1,1
5,1,4.4,4.4,0,1.9,1.4,0,0,3,1,1,3,3,2,3,3,3,4,3,1,3,2,25,1,1,2,1,1,2,3,2,2,1,2,1,1,1
5,1,4.4,4.4,0,1.9,1.4,0,0,4,1,2,5,5,4,2,4,3,4,2,3,3,3,34,1,1,2,2,2,4,3,3,1,1,2,1,1,1
5,1,4.4,4.4,0,1.9,1.4,0,0,5,1,4,2,3,3,4,2,4,3,2,0,3,0,31,0,1,2,2,4,4,3,2,1,1,1,1,1,1
5,1,4.2,4.2,0,1.7,1.2,0,0,6,2,4,4,4,3,2,3,3,5,3,3,3,2,42,0,8,2,2,5,9,2,1,2,2,2,1,1,1
5,1,4.2,4.2,0,1.7,1.2,0,0,7,2,4,3,3,3,5,3,3,4,2,2,3,1,31,0,1,3,2,5,6,2,2,2,1,2,1,1,1
5,1,4.2,4.2,0,1.7,1.2,0,0,8,2,4,4,3,4,5,4,3,4,3,3,3,4,46,1,1,7,3,2,3,3,1,2,1,1,1,2,1
5,1,4.2,4.2,0,1.7,1.2,0,0,9,2,2,2,2,4,4,4,4,3,2,3,3,3,42,0,1,2,3,1,3,3,3,2,1,3,1,2,2
5,1,4.2,4.2,0,1.7,1.2,0,0,10,2,2,4,4,5,4,5,5,3,2,3,4,4,32,1,1,2,2,2,6,1,3,6,6,8,1,1,1
6,1,4.4,4.4,0,1.9,1.4,0,0,1,1,4,3,3,4,3,3,2,3,2,1,2,1,61,0,1,7,2,2,8,3,2,1,1,5,1,1,1
6,1,4.4,4.4,0,1.9,1.4,0,0,2,1,4,3,3,4,4,3,3,5,2,1,3,1,34,0,1,3,2,3,5,3,2,2,2,2,1,1,1
6,1,4.4,4.4,0,1.9,1.4,0,0,3,1,4,4,4,2,3,3,3,2,2,3,3,2,33,1,1,2,2,4,8,1,2,3,1,1,1,1,1
6,1,4.4,4.4,0,1.9,1.4,0,0,4,1,1,2,3,2,3,4,2,3,2,1,2,1,34,0,1,3,1,2,7,3,3,2,1,1,1,1,1
