Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE
25,0,1,2,1,1,2,1,4,3,1,3,1,1,1
30,0,1,3,1,1,2,1,1,3,5,2,1,1,1
34,0,6,2,2,3,5,3,4,2,1,1,1,1,1
46,0,6,3,2,4,5,3,4,3,1,2,1,1,1
43,0,6,1,2,2,3,3,4,2,1,5,1,1,1
36,0,1,2,3,3,4,5,2,2,2,2,1,2,1
25,1,1,2,1,1,1,2,4,4,1,4,1,1,1
39,1,1,3,2,6,7,1,4,4,1,2,1,1,1
26,0,1,3,2,2,4,2,3,4,1,2,1,1,1
21,1,1,7,1,4,3,2,4,2,1,1,1,1,1
39,1,1,7,2,4,9,3,3,2,3,4,1,1,1
42,1,1,7,2,5,5,3,3,2,1,1,1,1,1
45,1,1,3,2,5,5,3,4,4,3,1,1,2,2
39,0,1,3,2,4,9,3,1,6,6,8,1,1,1
53,1,1,7,2,5,5,3,3,2,4,4,1,1,1
39,1,1,2,2,4,8,3,2,1,3,2,1,1,1
41,1,1,7,2,5,5,4,1,2,3,2,1,2,1
38,1,1,7,2,3,3,3,2,1,5,1,1,2,1
43,1,1,7,2,5,9,3,2,3,5,2,1,2,1
39,1,7,7,2,5,5,3,4,2,1,3,1,2,1
64,0,1,7,2,2,3,3,2,2,5,2,1,2,1
70,1,1,3,2,2,3,3,1,6,6,8,1,1,1
68,0,1,3,2,2,4,4,2,1,3,3,1,2,1
79,1,1,1,3,2,3,3,1,5,6,8,1,2,2
79,0,1,7,3,2,3,3,2,5,6,8,1,2,1
61,0,1,7,2,2,2,3,2,2,2,5,1,1,1
66,1,1,7,2,2,2,3,2,5,6,8,1,1,1
62,1,1,2,2,2,3,1,2,1,1,3,1,1,1
69,1,1,2,2,2,3,3,1,1,2,2,1,1,1
64,1,1,7,2,2,2,3,2,3,1,5,1,2,1
39,1,1,2,3,1,6,1,2,1,1,2,1,1,1
29,0,1,7,2,2,6,3,2,3,1,1,1,1,1
25,1,1,2,1,1,2,3,2,2,1,2,1,1,1
34,1,1,2,2,2,4,3,3,1,1,2,1,1,1
31,0,1,2,2,4,4,3,2,1,1,1,1,1,1
42,0,8,2,2,5,9,2,1,2,2,2,1,1,1
31,0,1,3,2,5,6,2,2,2,1,2,1,1,1
46,1,1,7,3,2,3,3,1,2,1,1,1,2,1
42,0,1,2,3,1,3,3,3,2,1,3,1,2,2
32,1,1,2,2,2,6,1,3,6,6,8,1,1,1
61,0,1,7,2,2,8,3,2,1,1,5,1,1,1
34,0,1,3,2,3,5,3,2,2,2,2,1,1,1
33,1,1,2,2,4,8,1,2,3,1,1,1,1,1
34,0,1,3,1,2,7,3,3,2,1,1,1,1,1
36,1,6,3,3,2,7,1,3,5,6,8,1,1,1
37,0,1,3,2,4,5,3,2,1,1,4,1,1,1
41,1,1,2,1,1,6,3,2,1,2,1,1,1,1
38,1,7,2,2,4,9,3,3,1,1,2,1,1,1
30,0,1,2,2,4,8,2,4,4,1,2,1,1,2
24,1,5,4,2,2,1,3,4,2,1,1,2,1,1
23,1,5,3,1,1,5,1,4,4,1,3,1,1,1
24,0,5,3,1,1,2,1,3,3,3,2,1,1,1
28,0,5,7,2,2,1,3,4,4,2,4,1,1,1
28,1,5,4,1,0,1,2,4,3,1,2,2,2,1
26,1,5,3,1,0,3,3,4,1,2,2,1,1,1
24,1,5,3,1,1,1,3,4,3,1,7,1,1,1
23,1,5,2,1,1,2,2,3,4,1,4,1,1,1
21,0,1,2,1,1,2,3,3,2,1,4,1,1,1
24,0,8,7,1,1,1,3,3,4,5,3,1,1,1
54,1,1,2,2,2,9,4,4,1,5,1,1,1,1
43,0,1,2,2,4,5,3,1,1,2,2,1,1,1
44,1,1,2,2,4,5,3,2,2,5,1,1,1,1
41,0,1,2,2,5,5,3,2,2,5,6,1,1,1
66,1,1,3,3,1,6,4,2,1,5,1,1,1,1
42,0,1,2,2,5,6,1,2,1,3,6,1,1,1
47,1,1,3,2,5,6,3,3,3,3,3,1,1,1
36,0,1,7,2,4,4,3,4,1,1,3,1,1,1
37,1,1,7,2,4,4,1,1,5,6,8,1,2,1
37,0,1,3,2,4,9,4,2,1,5,3,1,2,1
29,1,1,3,2,2,3,3,2,1,3,1,2,1,1
28,0,1,3,2,2,3,3,1,2,5,6,1,1,1
40,0,1,7,3,1,5,3,2,4,2,3,1,1,1
53,0,7,2,3,5,3,2,2,3,2,5,1,1,1
30,1,6,3,1,1,1,3,2,3,1,1,1,1,1
27,0,1,4,2,2,3,1,3,4,1,2,1,1,1
26,1,9,2,2,2,3,3,2,1,5,2,1,2,1
27,1,1,7,1,1,2,1,1,1,1,1,1,1,1
35,1,1,7,2,2,4,2,1,2,6,8,1,1,1
34,0,1,2,2,2,4,2,2,6,6,8,1,1,1
25,0,5,4,2,2,2,3,4,4,2,1,1,1,1
25,1,5,4,2,2,4,2,2,3,5,1,1,1,1
25,0,5,3,2,2,4,1,3,2,5,1,1,1,1
28,0,5,3,2,3,3,3,4,3,3,1,1,1,1
33,1,5,4,2,3,3,3,4,3,5,2,1,1,1
30,1,5,4,2,2,1,3,3,2,4,2,1,1,1
25,1,5,3,1,1,1,3,4,4,4,2,1,1,1
24,1,5,3,1,1,1,3,3,1,1,3,1,1,2
24,0,5,3,1,1,1,3,4,1,1,3,1,1,1
25,1,5,3,1,1,2,4,4,3,3,4,1,2,1
29,1,1,3,2,5,3,3,2,5,6,8,1,1,1
26,0,1,7,2,5,3,3,2,3,1,2,1,1,1
25,0,1,7,2,5,3,3,3,1,2,2,1,2,2
28,1,1,2,2,5,3,4,3,2,1,1,1,1,1
37,1,1,4,2,5,6,2,3,2,1,2,1,1,1
36,0,1,7,2,5,5,3,3,3,2,1,1,1,1
42,1,1,7,2,7,4,1,2,6,6,8,1,2,1
35,0,1,2,2,7,4,3,2,1,2,4,2,1,1
42,1,1,3,2,6,6,1,4,1,1,7,1,2,1
39,0,1,7,2,6,6,4,3,2,5,3,1,2,2
44,0,1,7,1,3,2,3,4,3,1,1,1,1,1
39,1,1,2,3,3,4,3,4,4,1,1,1,1,1
44,0,1,7,2,5,3,5,2,2,1,2,1,1,1
42,0,1,7,2,4,4,1,3,2,1,1,1,2,1
20,0,9,7,1,4,1,1,3,2,1,2,1,1,1
27,0,1,5,2,2,4,2,3,1,1,6,1,1,1
29,0,5,3,2,2,1,3,4,1,1,1,2,1,1
22,0,1,2,2,2,2,3,4,1,1,4,1,1,1
23,1,1,2,2,2,2,3,4,6,6,8,1,1,1
33,0,1,2,2,4,4,3,3,1,1,1,1,1,1
53,0,1,6,2,3,2,5,2,2,3,4,2,2,2
22,0,1,2,1,1,1,3,3,1,1,7,1,1,1
34,1,1,7,2,4,4,3,3,4,2,2,1,1,1
21,0,6,2,1,2,2,2,2,1,1,1,1,1,1
30,1,1,2,2,4,8,1,3,3,2,2,1,1,1
47,0,1,2,2,5,4,3,1,1,3,3,1,1,1
27,0,1,2,1,2,3,2,3,2,1,2,1,1,1
29,0,1,2,2,4,3,3,3,1,2,2,1,1,1
30,1,8,2,1,2,4,2,3,1,2,4,1,1,1
23,1,1,1,1,0,3,3,2,2,1,1,1,1,2
49,1,1,7,2,5,5,3,2,2,3,1,1,1,1
41,0,1,2,2,5,4,1,4,1,5,3,1,1,2
27,0,1,2,1,2,2,2,4,1,1,1,1,1,1
40,0,5,6,2,3,2,4,4,2,4,6,1,1,1
49,0,1,7,2,6,7,4,4,4,1,7,1,1,1
34,0,5,3,2,3,4,3,4,2,3,2,1,1,1
40,1,5,3,2,3,3,2,4,2,4,2,1,1,1
30,1,9,3,1,1,3,3,3,2,1,2,1,1,1
26,1,9,3,1,1,3,3,4,2,1,1,1,2,1
54,0,1,1,2,2,9,1,1,1,5,4,1,1,1
35,0,1,4,1,5,3,2,2,2,4,2,1,1,1
24,1,9,3,1,1,2,3,4,3,1,2,1,1,1
43,0,1,7,2,5,3,3,1,1,2,1,1,1,1
45,1,1,7,2,5,3,3,1,1,5,1,2,2,2
67,1,1,7,3,1,2,3,3,6,6,8,1,1,1
43,0,1,7,3,5,3,3,1,2,3,3,1,2,2
37,0,2,1,2,4,2,3,4,2,1,5,1,1,1
