Group,RPN,YRR,YRRS,PRR,NEWYRR,NEWPRR,WP,WPN,RWG,Round,RNO,Rest,Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE
2,-1,2.4,-2.4,0,-0.6,0,0,2.154065922,1,1,1,2,25,0,1,2,1,1,2,1,4,3,1,3,1,1,1
2,-1,2.4,-2.4,0,-0.6,0,0,2.23175732,2,1,2,2,30,0,1,3,1,1,2,1,1,3,5,2,1,1,1
2,-1,2.4,-2.4,0,-0.6,0,0,1.923468152,3,1,3,2,34,0,6,2,2,3,5,3,4,2,1,1,1,1,1
2,-1,2.4,-2.4,0,-0.6,0,0,2.045876282,4,1,4,2,46,0,6,3,2,4,5,3,4,3,1,2,1,1,1
2,-1,2.4,-2.4,0,-0.6,0,0,2.09800075,5,1,5,2,43,0,6,1,2,2,3,3,4,2,1,5,1,1,1
2,-1,1.4,-1.4,0,-1.6,0,0,1.894092448,6,1,6,1,36,0,1,2,3,3,4,5,2,2,2,2,1,2,1
2,-1,1.4,-1.4,0,-1.6,0,0,1.456085567,7,1,7,1,25,1,1,2,1,1,1,2,4,4,1,4,1,1,1
2,-1,1.4,-1.4,0,-1.6,0,0,2.227831972,8,1,8,1,39,1,1,3,2,6,7,1,4,4,1,2,1,1,1
2,-1,1.4,-1.4,0,-1.6,0,0,2.102739079,9,1,9,1,26,0,1,3,2,2,4,2,3,4,1,2,1,1,1
2,-1,1.4,-1.4,0,-1.6,0,0,1.322222222,10,1,10,1,21,1,1,7,1,4,3,2,4,2,1,1,1,1,1
3,1,4.2,4.2,0,1.2,0,0,1.196747002,1,1,11,1,39,1,1,7,2,4,9,3,3,2,3,4,1,1,1
3,1,4.2,4.2,0,1.2,0,0,1.1,2,1,12,1,42,1,1,7,2,5,5,3,3,2,1,1,1,1,1
3,1,4.2,4.2,0,1.2,0,0,1.088482669,3,1,13,1,45,1,1,3,2,5,5,3,4,4,3,1,1,2,2
